word,f1,f2,f3
TKW,16300000,16400000,16500000
TLB,9750000,9810000,9880000
TLF,69300000,69500000,69200000
TLG,27400000,27400000,27300000
TLK,8510000,8530000,8420000
TLP,30600000,30900000,31700000
TLR,15800000,16100000,15600000
TLW,6980000,6880000,6750000
TMD,11700000,16000000,16000000
TMK,9870000,9920000,9850000
TNB,11200000,11300000,11300000
TNK,10300000,10400000,10300000
TNM,8870000,8880000,8890000
TNP,9720000,9750000,2600000
TNS,27100000,27200000,9190000
TNW,5790000,5810000,1820000
TRB,11500000,11600000,3780000
TRH,25900000,26000000,25500000
TRL,16100000,64500000,20000000
TRP,19800000,20100000,19700000
TSC,8950000,29700000,29600000
TSD,14200000,14400000,14500000
TSG,7130000,22300000,6820000
TSM,9040000,30200000,9860000
TWC,4300000,13100000,13500000
TWD,26100000,105000000,104000000
TWH,4570000,4640000,4670000
TWK,4740000,4740000,4710000
TWL,7140000,7160000,7170000
TWM,5870000,5860000,5850000
TWN,22300000,22300000,22500000
TWP,53600000,53200000,52800000
TWS,17000000,17100000,17100000
WAC,6970000,23400000,23600000
WAF,4300000,13600000,13500000
WAJ,5530000,5470000,5460000
WBA,6420000,17400000,17000000
WBC,11500000,33900000,28800000
WBD,2880000,2880000,2860000
WBE,1360000,3760000,3790000
WBF,4080000,4100000,4150000
WBG,17300000,53700000,56100000
WBH,3220000,3230000,3210000
WBJ,1510000,1540000,1530000
WBK,9720000,42900000,9640000
WBL,2370000,8350000,6550000
WBN,2270000,2280000,2280000
WBP,4950000,4990000,5010000
WBR,37500000,37600000,37500000
WBS,4130000,13500000,13100000
WBT,8570000,8640000,8660000
WCB,7410000,7450000,7510000
WCD,5140000,5170000,5460000
WCE,4590000,4600000,4600000
WCF,5640000,16600000,16600000
WCG,7140000,7200000,7260000
WCJ,1360000,1360000,1370000
WCK,2310000,2310000,2320000
WCL,2780000,9710000,9730000
WCM,5420000,17600000,17700000
WCP,13800000,13900000,13800000
WCR,5430000,5410000,5420000
WCS,8350000,26500000,8520000
WCT,8070000,8100000,7880000
WDA,4300000,4310000,4280000
WDB,5330000,5330000,5390000
WDC,8210000,13300000,13300000
WDE,2940000,2920000,2890000
WDF,4470000,4530000,4570000
WDJ,2370000,2350000,2350000
WDK,3590000,3620000,3640000
WDM,10400000,10500000,10500000
WDN,2300000,2320000,2310000
WDP,4430000,4450000,4440000
WDT,4420000,683000,4450000
WEC,5900000,12400000,12600000
WEJ,3820000,3850000,3860000
WEP,19500000,19600000,6570000
WER,164000000,352000000,352000000
WES,30100000,91400000,90800000
WFA,3930000,3890000,3880000
WFB,13700000,47500000,8790000
WFC,2260000,7220000,2130000
WFD,3410000,3560000,1490000
WFE,3020000,3020000,2960000
WFG,2120000,4100000,1950000
WFJ,1800000,1790000,1800000
WFL,7010000,6890000,6890000
WFM,2240000,6280000,5940000
WFN,2160000,2170000,2160000
WFP,2620000,9060000,2580000
WFR,3640000,3620000,3630000
WFS,10900000,11000000,10500000
WFT,2140000,6120000,6060000
WGB,1990000,1990000,1990000
WGC,2440000,5770000,5670000
WGD,1610000,1620000,1610000
WGF,7340000,7400000,7420000
WGH,2090000,2100000,2110000
WGJ,1340000,1350000,1360000
WGL,6590000,6600000,6560000
WGM,4800000,4590000,4620000
WGN,5950000,22600000,22400000
WGR,4960000,4960000,4950000
WGS,19800000,19900000,20100000
WHB,3930000,4450000,4200000
WHC,2060000,6870000,6930000
WHD,5360000,5310000,5260000
WHE,23000000,23000000,22600000
WHG,7680000,7680000,7710000
WHJ,1960000,1940000,1930000
WHM,2480000,7710000,7640000
WHN,5360000,5370000,5310000
WHS,4120000,14100000,14000000
WHT,79700000,79800000,77900000
