"ID","Section","image1","label1","node1","node2","image2","label2","sub_reported","edge","true_structure","Condition","Structure","rt","correct"
"2","1","CFD-AM-201-076-N_circ.png","EAG",5,9,"CFD-LF-216-121-N_circ.png","EKF","FALSE","4-8",FALSE,"social","unnatural",181.049,TRUE
"2","1","CFD-BF-039-031-N_circ.png","MBF",6,8,"CFD-BM-036-003-N_circ.png","AFH","FALSE","5-7",FALSE,"social","unnatural",181.049,TRUE
"2","1","CFD-BF-039-031-N_circ.png","MBF",6,9,"CFD-LF-216-121-N_circ.png","EKF","FALSE","5-8",TRUE,"social","unnatural",181.049,FALSE
"2","1","CFD-BM-036-003-N_circ.png","AFH",8,9,"CFD-LF-216-121-N_circ.png","EKF","FALSE","7-8",TRUE,"social","unnatural",181.049,FALSE
"2","2","CFD-WF-036-023-N_circ.png","ENM",1,2,"CFD-AM-229-224-N_circ.png","MBF","TRUE","0-1",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-AM-229-224-N_circ.png","MBF",2,5,"CFD-AF-201-060-N_circ.png","LCF","TRUE","1-4",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-AM-229-224-N_circ.png","MBF",2,6,"CFD-BM-027-001-N_circ.png","EKF","TRUE","1-5",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-AM-229-224-N_circ.png","MBF",2,3,"CFD-LF-236-221-N_circ.png","KJT","TRUE","1-2",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-AM-229-224-N_circ.png","MBF",2,4,"CFD-WM-015-002-N_circ.png","DBG","TRUE","1-3",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-LF-236-221-N_circ.png","KJT",3,5,"CFD-AF-201-060-N_circ.png","LCF","TRUE","2-4",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-LF-236-221-N_circ.png","KJT",3,4,"CFD-WM-015-002-N_circ.png","DBG","TRUE","2-3",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-LF-236-221-N_circ.png","KJT",3,6,"CFD-BM-027-001-N_circ.png","EKF","TRUE","2-5",TRUE,"social","natural",115.175,TRUE
